time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/entropy_loss,train/loss
6,-415.7142857142857,1115,200.0,1,1536,-0.0057463461300358174,515.7875030517578,0.000390625,0.3,1.817941665649414e-05,0.0003,0.002781675,450,-1.5309870183467864,255.031005859375
7,-415.0,1117,200.0,1,1792,-0.008930925535969437,226.42011108398438,0.003515625,0.3,-5.984306335449219e-05,0.0003,0.010409384,460,-1.4716339409351349,131.06224060058594
8,-405.0,1119,200.0,1,2048,-0.0048735632561147215,197.71279830932616,0.0,0.3,-6.198883056640625e-06,0.0003,0.015041337,470,-1.4159408688545227,120.3248519897461
9,-402.72727272727275,1120,200.0,2,2304,-0.026125430781394243,337.8969917297363,0.22734375,0.3,-2.4199485778808594e-05,0.0003,0.02154607,480,-1.4105994343757629,205.9126434326172
10,-401.6666666666667,1115,200.0,2,2560,-0.0029157383134588597,250.19709091186525,0.0,0.3,-1.1205673217773438e-05,0.0003,0.0050054947,490,-1.3998195290565492,125.15995025634766
11,-393.57142857142856,1114,200.0,2,2816,-0.003333067428320646,183.04538841247557,0.0,0.3,-1.71661376953125e-05,0.0003,0.0026919742,500,-1.3710930407047273,62.06901168823242
12,-389.3333333333333,1113,200.0,2,3072,-0.004038887051865459,227.71405181884765,0.001171875,0.3,-2.384185791015625e-05,0.0003,0.003877518,510,-1.3137275934219361,133.59988403320312
13,-393.125,1113,200.0,2,3328,-0.0031081224558874966,63.9899341583252,0.0,0.3,3.343820571899414e-05,0.0003,0.0011818886,520,-1.2771530270576477,29.628705978393555
14,-395.29411764705884,1110,200.0,3,3584,-0.002342075016349554,278.38280181884767,0.0,0.3,7.569789886474609e-06,0.0003,0.0005335985,530,-1.2582768201828003,109.31703186035156
15,-387.89473684210526,1109,200.0,3,3840,-0.009504953026771545,186.89842681884767,0.003125,0.3,-2.1338462829589844e-05,0.0003,0.0044549555,540,-1.2485692024230957,105.5386962890625
16,-394.5,1109,200.0,3,4096,-0.008627563784830272,115.74392127990723,0.0,0.3,-4.291534423828125e-06,0.0003,0.009703938,550,-1.2140509724617004,60.07194519042969
17,-395.23809523809524,1103,200.0,3,4352,-0.006020164414076134,347.46608581542966,0.0,0.3,-5.125999450683594e-06,0.0003,0.004407583,560,-1.200962483882904,113.27510070800781
18,-390.4347826086956,1108,200.0,4,4608,-0.006307617435231805,138.53953475952147,0.0015625,0.3,-7.033348083496094e-06,0.0003,0.0038625088,570,-1.189273715019226,85.5138168334961
19,-387.9166666666667,1110,200.0,4,4864,-0.005226267175748945,271.2142333984375,0.085546875,0.3,-1.3709068298339844e-05,0.0003,0.033286057,580,-1.2218209087848664,144.34463500976562
20,-386.4,1113,200.0,4,5120,-0.012457794975489378,153.485737991333,0.0,0.3,-6.556510925292969e-06,0.0003,0.028547883,590,-1.2588292241096497,89.9742431640625
21,-385.7692307692308,1116,200.0,4,5376,-0.0025348471011966468,186.89561386108397,0.0,0.3,4.947185516357422e-06,0.0003,0.0023824032,600,-1.2432141780853272,76.86746978759766
22,-381.7857142857143,1119,200.0,5,5632,-0.003421017830260098,219.98517074584962,0.002734375,0.3,-2.86102294921875e-06,0.0003,0.0009346178,610,-1.2311512887477876,111.20491027832031
