rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss
-392.85714285714283,1111,11,2,2816,200.0,0.090625,1.9490718841552734e-05,0.3,2.601346969604492,-0.007478203997015953,500,0.032034688,4.313414946198463,0.0003,-0.5514600783586502
-393.3333333333333,1116,12,2,3072,200.0,0.0,-0.00014460086822509766,0.3,3.2938010692596436,-0.00033480399288237094,510,0.00044663553,8.327312636375428,0.0003,-0.4558608591556549
-393.75,1115,13,2,3328,200.0,0.010546875,3.9637088775634766e-05,0.3,1.469037413597107,-0.0007935715373605489,520,0.0049708076,4.34095122218132,0.0003,-0.4853793442249298
-394.11764705882354,1110,14,3,3584,200.0,0.0234375,3.635883331298828e-06,0.3,2.140998601913452,-0.0028015071875415742,530,0.016509071,4.327106750011444,0.0003,-0.4978529244661331
-394.7368421052632,1108,15,3,3840,200.0,0.0,-0.0002639293670654297,0.3,2.493527412414551,4.5507028698921206e-05,540,0.0003111558,4.3525495529174805,0.0003,-0.4113290965557098
-395.0,1103,16,3,4096,200.0,0.0,0.0002987980842590332,0.3,3.778658866882324,0.0004360484192147851,550,0.0002260087,8.401482391357423,0.0003,-0.4425803482532501
-395.23809523809524,1103,17,3,4352,200.0,0.0,0.00012451410293579102,0.3,2.3221356868743896,-0.0022851034300401807,560,0.0054304944,4.35287658572197,0.0003,-0.4125237241387367
-394.3478260869565,1104,18,4,4608,200.0,0.00234375,0.00012093782424926758,0.3,21.237014770507812,-0.0019683524500578643,570,0.00078221667,36.69475765228272,0.0003,-0.3441132664680481
-394.5833333333333,1103,19,4,4864,200.0,0.0,0.0001488327980041504,0.3,4.789235591888428,4.5644538477063176e-05,580,0.0005637889,8.165705287456513,0.0003,-0.3411766096949577
-394.8,1103,20,4,5120,200.0,0.0,0.00029730796813964844,0.3,1.9375221729278564,-0.0007116009946912527,590,0.0013412235,4.364194273948669,0.0003,-0.3065891250967979
-395.0,1101,21,4,5376,200.0,0.016015625,5.0127506256103516e-05,0.3,1.6455051898956299,-0.0023899151477962733,600,0.005053808,4.311611193418503,0.0003,-0.3174780115485191
-398.2142857142857,1103,22,5,5632,200.0,0.0,3.415346145629883e-05,0.3,39.900760650634766,-0.002165588247589767,610,0.00016510091,83.49637451171876,0.0003,-0.37251818627119065
-398.2758620689655,1100,23,5,5888,200.0,0.0,0.0008502006530761719,0.3,5.069530010223389,-9.331738110631704e-05,620,0.00013604783,8.691237616539002,0.0003,-0.3790963917970657
-397.0,1099,24,5,6144,200.0,0.0,0.0001417994499206543,0.3,19.145132064819336,-0.0009799686260521412,630,0.00016415725,31.566836833953857,0.0003,-0.39005395770072937
