time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/loss,train/n_updates
8448,33,957,8,568.0952380952381,200.0,0.00022534118,-2.3476765155792236,0.0003,0.0,0.3,-0.0018710124772042037,11512.096948242188,0.14072012901306152,2277.3154296875,1920
8704,34,957,9,567.6744186046511,200.0,0.00020456803,-2.3128427386283876,0.0003,0.0,0.3,-0.0014107606373727321,32596.06328125,0.1543073058128357,11969.9033203125,1930
8960,35,955,9,569.3181818181819,200.0,0.00093383435,-2.3337560296058655,0.0003,0.0,0.3,-0.0033248389372602105,17079.00068359375,0.1853795051574707,10228.1640625,1940
9216,36,955,9,565.2173913043479,200.0,0.0006627159,-2.3280858635902404,0.0003,0.0,0.3,-0.0005285777151584625,14283.526318359374,0.17868489027023315,4367.37939453125,1950
9472,37,953,9,565.531914893617,200.0,0.00012741564,-2.3408980846405028,0.0003,0.0,0.3,-7.437681779265404e-05,33034.06337890625,0.10662531852722168,15099.3095703125,1960
9728,38,955,10,566.6666666666666,200.0,4.695542e-05,-2.30254225730896,0.0003,0.0,0.3,-0.0006185746053233743,18088.867919921875,0.09097588062286377,4057.413818359375,1970
9984,39,956,10,566.3265306122449,200.0,0.0001993794,-2.322198414802551,0.0003,0.0,0.3,-0.0010109624825417995,13405.33250732422,0.1229509711265564,4385.81884765625,1980
10240,40,959,10,572.9411764705883,200.0,0.0008444928,-2.3565547585487367,0.0003,0.0,0.3,-0.001878834469243884,16780.885327148437,0.23880261182785034,12407.546875,1990
256,1,1367,0,355.0,200.0,0.00095302355,-2.3454912900924683,0.0003,0.0,0.3,-0.0005615880247205496,35141.5197265625,0.19782757759094238,18251.7109375,2000
512,2,1170,0,330.5,200.0,0.0016642606,-1.696355903148651,0.0003,0.0,0.3,-0.002179287513718009,14230.494384765625,0.17513775825500488,7442.384765625,1610
768,3,1099,0,243.66666666666666,200.0,0.005250575,-1.7339865624904633,0.0003,0.00078125,0.3,-0.003710104338824749,6113.332096862793,0.1688605546951294,3367.356689453125,1620
1024,4,1079,0,292.2,200.0,0.021510433,-1.9672763705253602,0.0003,0.004296875,0.3,-0.010440008505247534,9732.040463256835,0.2035198211669922,2676.835205078125,1630
1280,5,1063,1,335.8333333333333,200.0,0.0006561035,-1.9576659142971038,0.0003,0.0,0.3,0.002456465782597661,15750.42138671875,0.1834314465522766,10781.80078125,1640
1536,6,1056,1,349.7142857142857,200.0,0.0013342348,-1.9688342094421387,0.0003,0.0,0.3,-0.0015250905184075237,10543.997778320312,0.19137555360794067,6444.951171875,1650
1792,7,1056,1,357.0,200.0,0.028907256,-1.9571873188018798,0.0003,0.031640625,0.3,-0.0062067280523478985,8833.309228515625,0.17639708518981934,3627.541259765625,1660
2048,8,1038,1,352.7,200.0,0.011955729,-2.0602152347564697,0.0003,0.00546875,0.3,3.776098601520062e-05,13123.247828674317,0.18404340744018555,7932.4443359375,1670
2304,9,1032,2,337.27272727272725,200.0,0.000312238,-1.9532384395599365,0.0003,0.0,0.3,0.0017203628551214934,31458.50849609375,0.11461251974105835,9383.66015625,1680
2560,10,1028,2,327.5,200.0,0.00050093443,-2.1918150901794435,0.0003,0.0,0.3,-0.001120973564684391,11413.81339111328,0.20495831966400146,7373.16259765625,1690
2816,11,1024,2,317.5,200.0,0.00068806484,-2.1841824293136596,0.0003,0.0,0.3,-0.0033401511143893005,11871.628945922852,0.22725075483322144,7316.00244140625,1700
3072,12,1025,2,335.53333333333336,200.0,0.0019564892,-2.137093496322632,0.0003,0.0,0.3,-0.006193647859618068,17872.5751953125,0.1983439326286316,10675.640625,1710
3328,13,1026,3,337.4375,200.0,0.0004401605,-1.9430672705173493,0.0003,0.0,0.3,0.0020088164601475,16125.781274414063,0.10044890642166138,10334.197265625,1720
3584,14,1028,3,342.52941176470586,200.0,0.00017478876,-2.0498546600341796,0.0003,0.0,0.3,-0.001212358707562089,21371.875439453124,-0.022622346878051758,6298.18017578125,1730
3840,15,1012,3,344.42105263157896,200.0,9.4444724e-05,-2.024821174144745,0.0003,0.0,0.3,-0.0005766851827502251,15616.305419921875,0.11363571882247925,2348.7021484375,1740
4096,16,990,4,347.0,200.0,0.00019161403,-1.9950608611106873,0.0003,0.0,0.3,-0.0008338639338035137,16140.424263000488,0.164858877658844,157.3125762939453,1750
4352,17,974,4,349.2857142857143,200.0,0.014537413,-1.9059083104133605,0.0003,0.0,0.3,-0.004893205547705293,8335.36242904663,0.18507885932922363,2746.87158203125,1760
4608,18,962,4,356.8695652173913,200.0,0.00042224326,-2.066531848907471,0.0003,0.0,0.3,-0.0009698400273919106,14434.551477050782,0.09711700677871704,7525.13330078125,1770
4864,19,962,5,361.5,200.0,2.193614e-05,-1.9347709655761718,0.0003,0.0,0.3,-9.304746054112911e-05,25531.3080078125,0.17804694175720215,17798.109375,1780
5120,20,959,5,360.52,200.0,0.00068693934,-2.0234413504600526,0.0003,0.0,0.3,-0.0018470968119800092,12432.041259765625,0.18429255485534668,7123.71484375,1790
5376,21,959,5,364.1923076923077,200.0,0.012746421,-1.9573675453662873,0.0003,0.0,0.3,-0.0025166265899315477,6115.519415283203,0.17960327863693237,143.5949249267578,1800
5632,22,954,5,361.60714285714283,200.0,0.021894837,-2.1522419333457945,0.0003,0.023046875,0.3,0.0004898379556834698,13961.643701171875,0.2324085235595703,10502.640625,1810
5888,23,952,6,353.6896551724138,200.0,0.0026007222,-2.2015714168548586,0.0003,0.0,0.3,0.0031877662520855667,31253.9802734375,0.1336347460746765,15849.9775390625,1820
6144,24,951,6,353.9,200.0,0.0001493718,-2.1901960015296935,0.0003,0.0,0.3,-0.0014175143267493695,10327.339819335937,0.20309311151504517,4519.9326171875,1830
6400,25,950,6,358.125,200.0,0.00020717294,-2.293793201446533,0.0003,0.0,0.3,-7.867091335356236e-06,15128.791748046875,0.1816067099571228,6072.42236328125,1840
6656,26,947,7,348.6363636363636,200.0,0.000380283,-2.2242884039878845,0.0003,0.0,0.3,-0.0010991360992193221,14189.3626953125,0.24784010648727417,6262.05078125,1850
6912,27,944,7,348.4117647058824,200.0,0.00013006316,-2.161980962753296,0.0003,0.0,0.3,-0.0002541419002227485,31138.0,0.23326623439788818,16092.9912109375,1860
7168,28,943,7,345.8285714285714,200.0,0.00017919508,-2.156989312171936,0.0003,0.0,0.3,-0.0008547455770894885,12569.92763671875,0.2026178240776062,6732.08935546875,1870
7424,29,943,7,344.2162162162162,200.0,1.590536e-05,-2.2135895609855654,0.0003,0.0,0.3,-4.3475045822560786e-05,18181.117236328126,0.11731749773025513,10052.935546875,1880
