rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,train/approx_kl,train/value_loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/learning_rate,train/loss,train/explained_variance
-265.7,343,200.0,469,349,120064,0.0062855124,377.8689239501953,0.005078125,4680,0.0032378185191191734,0.3,-1.78992857336998,0.0003,140.81915283203125,0.19452345371246338
-265.4,344,200.0,470,349,120320,0.019199857,5.342777061462402,0.0140625,4690,-0.011427977751009167,0.3,-1.8507493913173676,0.0003,3.0643229484558105,0.00389176607131958
-267.5,344,200.0,471,349,120576,0.0030021984,317.5201778411865,0.0,4700,0.003804000257514417,0.3,-1.9126458048820496,0.0003,56.15363693237305,0.14072185754776
-265.5,344,200.0,472,350,120832,0.056441247,3.605616867542267,0.140625,4710,-0.023579589324072003,0.3,-1.9043815076351165,0.0003,1.5021110773086548,0.044750988483428955
-257.5,345,200.0,473,350,121088,0.0012056299,1369.964535522461,0.0,4720,4.678278928622603e-05,0.3,-1.8217153251171112,0.0003,715.147216796875,0.06914424896240234
-256.8,345,200.0,474,351,121344,7.262896e-05,1252.829327392578,0.0,4730,-0.0002505679847672582,0.3,-1.844288855791092,0.0003,608.3050537109375,0.12763845920562744
-256.3,345,200.0,475,351,121600,0.00030911015,287.3404113769531,0.0,4740,-0.0011665956350043415,0.3,-1.9066201806068421,0.0003,112.50548553466797,-2.328293800354004
-254.2,345,200.0,476,352,121856,0.0056278086,19.917867565155028,0.002734375,4750,-0.0028706032782793043,0.3,-1.8217268407344818,0.0003,6.182651042938232,-4.818535804748535
-253.5,346,200.0,477,352,122112,0.00071023824,375.66964263916014,0.0,4760,-0.00030084049794822933,0.3,-1.9306801676750183,0.0003,293.05609130859375,0.1017066240310669
-251.6,346,200.0,478,353,122368,8.563837e-05,343.0305801391602,0.0,4770,-0.0003617159673012793,0.3,-1.9082898497581482,0.0003,259.87554931640625,0.017144203186035156
-251.5,346,200.0,479,353,122624,0.025945768,7.821895062923431,0.101953125,4780,-0.008171865809708833,0.3,-1.9066746354103088,0.0003,4.710753917694092,0.01140892505645752
-249.2,347,200.0,480,353,122880,0.0026206623,286.6533935546875,0.0,4790,-0.006407583365216851,0.3,-1.9139073848724366,0.0003,234.2424774169922,0.277413547039032
-247.8,347,200.0,481,354,123136,0.0004474551,92.97720623016357,0.0,4800,-0.0008137692813761533,0.3,-1.6409264206886292,0.0003,29.4627742767334,-0.2025221586227417
-248.1,347,200.0,482,354,123392,0.003738638,337.5096939086914,0.0,4810,-0.007231440482428297,0.3,-1.8289636075496674,0.0003,196.855712890625,0.28140687942504883
